Name of Earth Meteorite,id,Meteorite,nametype,recclass,mass,year,reclat,reclong,point coordinates
Kijima (1906),12305,Valid,Stone-uncl,,1906-01-01T00:00:00.000,36.850000,138.383330,"[138.38333, 36.85]"
Kikino,12306,Valid,H6,,1809-01-01T00:00:00.000,55.000000,34.000000,"[34, 55]"
Kilabo,12307,Valid,LL6,,2002-01-01T00:00:00.000,12.766670,9.800000,"[9.8, 12.76667]"
Kilbourn,12308,Valid,H5,,1911-01-01T00:00:00.000,43.583330,-89.600000,"[-89.6, 43.58333]"
Killeter,12309,Valid,H6,,1844-01-01T00:00:00.000,54.666670,-7.666670,"[-7.66667, 54.66667]"
Kingai,12316,Valid,H6,,1967-01-01T00:00:00.000,11.633330,24.683330,"[24.68333, 11.63333]"
Kirbyville,12321,Valid,Eucrite-mmict,,1906-01-01T00:00:00.000,30.750000,-95.950000,"[-95.95, 30.75]"
Kisvarsány,12325,Valid,L6,,1914-01-01T00:00:00.000,48.166670,22.308330,"[22.30833, 48.16667]"
Kitchener,12326,Valid,L6,,1998-01-01T00:00:00.000,43.383330,-80.383330,"[-80.38333, 43.38333]"
Klein-Wenden,12332,Valid,H6,,1843-01-01T00:00:00.000,51.600000,10.800000,"[10.8, 51.6]"
Knyahinya,12335,Valid,L/LL5,,1866-01-01T00:00:00.000,48.900000,22.400000,"[22.4, 48.9]"
Kobe,12336,Valid,CK4,,1999-01-01T00:00:00.000,34.733330,135.166670,"[135.16667, 34.73333]"
Kokubunji,12342,Valid,L6,,1986-01-01T00:00:00.000,34.300000,133.950000,"[133.95, 34.3]"
Komagome,12343,Valid,Iron,,1926-01-01T00:00:00.000,35.733330,139.750000,"[139.75, 35.73333]"
Konovo,12344,Valid,LL5,,1931-01-01T00:00:00.000,42.516670,26.166670,"[26.16667, 42.51667]"
Košice,53810,Valid,H5,,2010-01-01T00:00:00.000,48.763670,21.176330,"[21.17633, 48.76367]"
Krähenberg,12353,Valid,LL5,,1869-01-01T00:00:00.000,49.326940,7.464720,"[7.46472, 49.32694]"
Krasnoi-Ugol,12355,Valid,L6,,1829-01-01T00:00:00.000,54.033330,40.900000,"[40.9, 54.03333]"
Krasnyi Klyuch,12357,Valid,H5,,1946-01-01T00:00:00.000,54.333330,56.083330,"[56.08333, 54.33333]"
Krutikha,12363,Valid,OC,,1906-01-01T00:00:00.000,56.800000,77.000000,"[77, 56.8]"
Krymka,12364,Valid,LL3.2,,1946-01-01T00:00:00.000,47.833330,30.766670,"[30.76667, 47.83333]"
Kukschin,12368,Valid,L6,,1938-01-01T00:00:00.000,51.150000,31.700000,"[31.7, 51.15]"
Kulak,12369,Valid,L5,,1961-01-01T00:00:00.000,30.731110,66.802220,"[66.80222, 30.73111]"
Kuleschovka,12370,Valid,L6,,1811-01-01T00:00:00.000,50.750000,33.500000,"[33.5, 50.75]"
Kulp,12373,Valid,H6,,1906-01-01T00:00:00.000,41.116670,45.000000,"[45, 41.11667]"
Kunashak,12377,Valid,L6,,1949-01-01T00:00:00.000,55.783330,61.366670,"[61.36667, 55.78333]"
Kunya-Urgench,12379,Valid,H5,,1998-01-01T00:00:00.000,42.250000,59.200000,"[59.2, 42.25]"
Kushiike,12381,Valid,OC,,1920-01-01T00:00:00.000,37.050000,138.383330,"[138.38333, 37.05]"
Kusiali,12382,Valid,L6,,1860-01-01T00:00:00.000,29.683330,78.383330,"[78.38333, 29.68333]"
Kutais,12383,Valid,H5,,1977-01-01T00:00:00.000,44.516670,39.300000,"[39.3, 44.51667]"
Kuttippuram,12384,Valid,L6,,1914-01-01T00:00:00.000,10.833330,76.033330,"[76.03333, 10.83333]"
Kuznetzovo,12385,Valid,L6,,1932-01-01T00:00:00.000,55.200000,75.333330,"[75.33333, 55.2]"
Kyushu,12390,Valid,L6,,1886-01-01T00:00:00.000,32.033330,130.633330,"[130.63333, 32.03333]"
La Bécasse,12392,Valid,L6,,1879-01-01T00:00:00.000,47.083330,1.750000,"[1.75, 47.08333]"
La Charca,12394,Valid,OC,,1878-01-01T00:00:00.000,20.666670,-101.283330,"[-101.28333, 20.66667]"
La Colina,12395,Valid,H5,,1924-01-01T00:00:00.000,-37.333330,-61.533330,"[-61.53333, -37.33333]"
La Criolla,12396,Valid,L6,,1985-01-01T00:00:00.000,-31.233330,-58.166670,"[-58.16667, -31.23333]"
Laborel,12408,Valid,H5,,1871-01-01T00:00:00.000,44.283330,5.583330,"[5.58333, 44.28333]"
Lahrauli,12433,Valid,Ureilite,,1955-01-01T00:00:00.000,26.783330,82.716670,"[82.71667, 26.78333]"
L'Aigle,12434,Valid,L6,,1803-01-01T00:00:00.000,48.766670,0.633330,"[0.63333, 48.76667]"
Cumulus Hills 04075,32531,Valid,Pallasite,,2003-01-01T00:00:00.000,,,
Lakangaon,12435,Valid,Eucrite-mmict,,1910-01-01T00:00:00.000,21.866670,76.033330,"[76.03333, 21.86667]"
Lalitpur,12451,Valid,L6,,1887-01-01T00:00:00.000,24.450000,78.566670,"[78.56667, 24.45]"
Lancé,12455,Valid,CO3.5,,1872-01-01T00:00:00.000,47.700000,1.066670,"[1.06667, 47.7]"
Lancon,12456,Valid,H6,,1897-01-01T00:00:00.000,43.750000,5.116670,"[5.11667, 43.75]"
Långhalsen,12461,Valid,L6,,1947-01-01T00:00:00.000,58.850000,16.733330,"[16.73333, 58.85]"
Lanxi,12464,Valid,L6,,1986-01-01T00:00:00.000,46.241670,126.196110,"[126.19611, 46.24167]"
Lanzenkirchen,12465,Valid,L4,,1925-01-01T00:00:00.000,47.750000,16.233330,"[16.23333, 47.75]"
Laochenzhen,12466,Valid,H5,,1987-01-01T00:00:00.000,33.133330,115.166670,"[115.16667, 33.13333]"
Launton,12740,Valid,L6,,1830-01-01T00:00:00.000,51.900000,-1.116670,"[-1.11667, 51.9]"
Lavrentievka,12743,Valid,L6,,1938-01-01T00:00:00.000,52.450000,51.566670,"[51.56667, 52.45]"
Le Pressoir,12748,Valid,H5,,1845-01-01T00:00:00.000,47.166670,0.433330,"[0.43333, 47.16667]"
Le Teilleul,12749,Valid,Howardite,,1845-01-01T00:00:00.000,48.533330,-0.866670,"[-0.86667, 48.53333]"
Leedey,12755,Valid,L6,,1943-01-01T00:00:00.000,35.883330,-99.333330,"[-99.33333, 35.88333]"
Leeuwfontein,12756,Valid,L6,,1912-01-01T00:00:00.000,-25.666670,28.366670,"[28.36667, -25.66667]"
Leighlinbridge,12759,Valid,L6,,1999-01-01T00:00:00.000,52.666670,-6.966670,"[-6.96667, 52.66667]"
Leighton,12760,Valid,H5,,1907-01-01T00:00:00.000,34.583330,-87.500000,"[-87.5, 34.58333]"
Leonovka,12765,Valid,L6,,1900-01-01T00:00:00.000,52.266670,32.850000,"[32.85, 52.26667]"
Les Ormes,12769,Valid,L6,,1857-01-01T00:00:00.000,48.350000,3.250000,"[3.25, 48.35]"
Lesves,12772,Valid,L6,,1896-01-01T00:00:00.000,50.366670,4.733330,"[4.73333, 50.36667]"
Lichtenberg,14646,Valid,H6,,1973-01-01T00:00:00.000,-26.150000,26.183330,"[26.18333, -26.15]"
Lillaverke,14650,Valid,H5,,1930-01-01T00:00:00.000,56.650000,15.866670,"[15.86667, 56.65]"
Limerick,14652,Valid,H5,,1813-01-01T00:00:00.000,52.566670,-8.783330,"[-8.78333, 52.56667]"
Linum,14655,Valid,L6,,1854-01-01T00:00:00.000,52.750000,12.900000,"[12.9, 52.75]"
Lishui,14659,Valid,L5,,1978-01-01T00:00:00.000,31.633330,118.983330,"[118.98333, 31.63333]"
Lissa,14661,Valid,L6,,1808-01-01T00:00:00.000,50.200000,14.850000,"[14.85, 50.2]"
Little Piney,14664,Valid,L5,,1839-01-01T00:00:00.000,37.916670,-92.083330,"[-92.08333, 37.91667]"
Lixna,14670,Valid,H4,,1820-01-01T00:00:00.000,56.000000,26.433330,"[26.43333, 56]"
Lodran,14675,Valid,Lodranite,,1868-01-01T00:00:00.000,29.533330,71.800000,"[71.8, 29.53333]"
Lohawat,14678,Valid,Howardite,,1994-01-01T00:00:00.000,26.965560,72.626670,"[72.62667, 26.96556]"
Lorton,52843,Valid,L6,,2010-01-01T00:00:00.000,38.700660,-77.211630,"[-77.21163, 38.70066]"
Los Martinez,14708,Valid,L6,,1894-01-01T00:00:00.000,38.000000,-0.833330,"[-0.83333, 38]"
Lost City,14711,Valid,H5,,1970-01-01T00:00:00.000,36.008330,-95.150000,"[-95.15, 36.00833]"
Louisville,14716,Valid,L6,,1977-01-01T00:00:00.000,38.250000,-85.750000,"[-85.75, 38.25]"
